variant,n_rounds,true_share,initial_w,initial_se,revised_w,revised_se,revised_t_vs_true,diff
"primary (cohorts 1-3, drop neutral participant, data order)",716,0.2906657355679702,0.2441729731388937,0.039328788658281114,0.3027401309768295,0.038909351520313384,0.30379405724198694,0.05856715783793581
neutral: drop whole group,478,0.2906903765690377,0.23502436275412636,0.05264633472466523,0.2868249962223788,0.049630419064106535,-0.0855610818753069,0.05180063346825242
neutral: count as non-minority,716,0.2644553072625698,0.22982871072837174,0.040163764473774934,0.26801675260294916,0.038899139507271835,0.08691447430554175,0.038188041874577416
column order: sorted by score,716,0.2906657355679702,0.25571627449117884,0.03914154321998495,0.3063167718636925,0.03904407624907857,0.3943510035081707,0.05060049737251365
column order: random,716,0.2906657355679702,0.23893954265774014,0.03876662715344188,0.30606451628975484,0.03876245135548066,0.3907083929508672,0.0671249736320147
cohort 1 only,245,0.2962585034013605,0.27783164902862817,0.06397702564659546,0.26813665449750057,0.06964763642543138,-0.40943745445707236,-0.009694994531127599
cohort 2 only,303,0.2893289328932893,0.26782661627559584,0.06229210827987184,0.37153443290641325,0.06418615821630952,1.2807356336250664,0.1037078166308174
cohort 3 only,168,0.2849206349206349,0.17330100204588303,0.07071133704840969,0.231196271256674,0.06918309422348742,-0.7839035109459008,0.05789526921079097
cohort 4 (critique exclusion),147,0.28197278911564627,0.265773520684369,0.07576072820238683,0.4100279833358362,0.08553295808719102,1.4971444585098104,0.14425446265146719
training data,700,0.2852380952380953,0.26451763502163733,0.04070676651646234,0.3000030590093399,0.04014555836537159,0.3677857370139463,0.03548542398770255
virtual citizens' assembly,157,0.29501061571125264,0.24401893801659802,0.08636582597739739,0.42793067788322825,0.07967122785167738,1.6683571441804652,0.18391173986663023
initial stmt from fine-tuned generator only,358,0.29217877094972067,0.20981592766876955,0.04814977195804476,0.38206052130663903,0.0522686758138251,1.719610243754149,0.17224459363786948
initial stmt from base Chinchilla generator only,358,0.28915270018621975,0.2847133866988895,0.05707123646174835,0.21375042918820047,0.05863072051623274,-1.2945965561385024,-0.07096295751068904
