stage,n,k,n_rounds,minority_weight,r2,true_share
initial,3,1,152,0.3369552372559506,-0.3360508813699348,
initial,4,1,213,0.24918277019460588,-0.24111369336366328,
initial,5,1,182,0.20178155324606412,-0.19920328445866575,
initial,5,2,172,0.398721321299192,-0.1997365379491327,
initial,all,-,719,0.2915124284681505,,0.2908437644877144
revised,3,1,152,0.3308287154030437,-0.33191566794548044,
revised,4,1,213,0.2537703642107371,-0.24271752576983707,
revised,5,1,180,0.20017548411007488,-0.1969153696498156,
revised,5,2,172,0.39844830689482846,-0.20144911774773133,
revised,all,-,717,0.2913580868115392,,0.29109716410971637
