,b,se,z,p,n_rounds
"primary: mean sign(post' - pre'), 8 candidates, majority by rating",0.09701139124657039,0.038602953004212834,2.513056222304633,0.011969025851855228,1047.0
movement = mean (post' - pre'),0.25022283376602417,0.07866619455092697,3.1808178239006435,0.001468599497198334,1047.0
movement = Group Agreement Index change,0.12632557739280373,0.03647574802199792,3.463275854318844,0.0005336409981595546,1047.0
majority side by sign of opinion scores,0.1439994281443364,0.037969292496335176,3.7925233439162795,0.00014912422712494002,1047.0
bias from the 4 initial candidates only,0.13692141863439164,0.040149181229471795,3.4103165853325916,0.0006488751154980145,1047.0
bias from the 4 revised candidates only,0.04400461355373211,0.031107960823010816,1.4145772461299209,0.15719248410680017,1047.0
adjusted for pre-deliberation Group Agreement Index,0.10641713753938321,0.03854609585367479,2.7607760314651406,0.005766420593450473,1047.0
rounds with a minority only,0.16758690249814015,0.05216717943135504,3.2124969056197847,0.0013158656599082728,659.0
unanimous rounds only,-0.010724245989672468,0.05474194678414522,-0.19590545495138484,0.8446841675688109,388.0
tied rounds excluded,0.08125087940586251,0.0397957552214587,2.0416971346243065,0.041181583181790875,947.0
all cohort 1-3 rounds (no pre-registration filter),0.11177772303831342,0.034450688975504504,3.244571483542486,0.0011762748937523971,1476.0
cohort 4 (critique exclusion),0.13623664874195954,0.09566925615931621,1.4240379220163186,0.15443549481321006,150.0
