variant,minority_by,neutral,order,n_rounds,true_share,initial_candidates,initial_candidates_se,initial_winner,initial_winner_se,revised_candidates,revised_candidates_se,revised_winner,revised_winner_se
split=Likert rating | neutral=non-minority | order=data,rating,as_majority,data,560,0.2624551971326165,0.21140226452482014,0.014643188143801033,0.15950188498025225,0.018966385413859775,0.20894907487660663,0.010193862944851952,0.19897062520865988,0.017891717695637722
split=Likert rating | neutral=non-minority | order=sorted by score,rating,as_majority,sorted,560,0.2624551971326165,0.2207032710141179,0.014509892460185858,0.17013705732992807,0.018035398743239534,0.21705382686551541,0.009982923172039469,0.20980726966443441,0.017328839176386057
split=Likert rating | neutral=non-minority | order=random,rating,as_majority,random,560,0.2624551971326165,0.21527779649689324,0.014614318371964754,0.1632737747872766,0.018862478718876804,0.21117199787088992,0.010126277853189664,0.2016596958819945,0.017778088598824557
split=Likert rating | neutral=rater dropped | order=data,rating,drop_participant,data,560,0.2891369047619048,0.2383656874543732,0.014065622677047404,0.19057397276691923,0.01806895884350784,0.2402559467930132,0.009808069483256828,0.23247768274017205,0.0174253983507617
split=Likert rating | neutral=rater dropped | order=sorted by score,rating,drop_participant,sorted,560,0.2891369047619048,0.24003667713221166,0.013991200573307074,0.19160622429724802,0.017528428860770957,0.24030914045505192,0.009739234890338693,0.23487654765491855,0.01709317221380817
split=Likert rating | neutral=rater dropped | order=random,rating,drop_participant,random,560,0.2891369047619048,0.24027476900275574,0.014108771466037302,0.19718937221739813,0.01798871475459334,0.24271629926616323,0.009834645995005385,0.23591090674755033,0.017386945990680178
split=Likert rating | neutral=group dropped | order=data,rating,drop_group,data,374,0.28830645161290325,0.19991778207299785,0.01755081706752256,0.15700276395967194,0.02243216808371705,0.2143268407761979,0.012532313701589878,0.20687596178805448,0.02251694956591946
split=Likert rating | neutral=group dropped | order=sorted by score,rating,drop_group,sorted,374,0.28830645161290325,0.20486493010834483,0.017407963570325043,0.16215648822261655,0.02183572057172686,0.21878116207089482,0.012449895891094527,0.2165461484076597,0.022299745490956476
split=Likert rating | neutral=group dropped | order=random,rating,drop_group,random,374,0.28830645161290325,0.20019834016239685,0.01754860263162352,0.15664198282476754,0.02242792562213133,0.21394809073330137,0.012580885754944168,0.2079953304382849,0.02268356464419029
split=sign of position score | neutral=n/a | order=data,score,as_majority,data,617,0.2895461912479741,0.2661492570192654,0.010777368821699693,0.22375300487731045,0.014068007564956957,0.2595928712382277,0.007291479696892253,0.2492114382856459,0.012763705604582475
split=sign of position score | neutral=n/a | order=sorted by score,score,as_majority,sorted,617,0.2895461912479741,0.278045017007477,0.012032247919487352,0.24451548308725018,0.015389005180348596,0.2800172181916238,0.0080107637299215,0.27434513645191594,0.013875576329839148
split=sign of position score | neutral=n/a | order=random,score,as_majority,random,617,0.2895461912479741,0.2607796365092351,0.010787003868914768,0.22060127100398408,0.014067041430547093,0.2586936955628672,0.007264679039269143,0.24755136143124715,0.01272066498619447
