,b,se,z,p,n_rounds
"primary: mean sign(post' - pre'), 8 candidates, majority by rating",0.18349459076684568,0.03812102715756604,4.813474464064297,1.483285624661343e-06,1047.0
movement = mean (post' - pre'),0.3578921502003732,0.07812917519020807,4.5807747148113735,4.63256659376146e-06,1047.0
movement = Group Agreement Index change,0.14569124139209727,0.036463262125545445,3.9955624620329524,6.454083718177948e-05,1047.0
majority side by sign of opinion scores,0.23947498423715027,0.03686784237582819,6.49549766964823,8.2759368624792e-11,1047.0
bias from the 4 initial candidates only,0.1979449941300524,0.04008403377317026,4.938250357990277,7.882660356766405e-07,1047.0
bias from the 4 revised candidates only,0.11813796627207312,0.030321946442908775,3.8961208012984074,9.774564991105578e-05,1047.0
adjusted for pre-deliberation Group Agreement Index,0.19458247770382206,0.038071601040265184,5.110961251617137,3.2052372692977354e-07,1047.0
rounds with a minority only,0.2802493929574406,0.05011082314484625,5.592592086291909,2.2370443687156233e-08,659.0
unanimous rounds only,0.021100836379924506,0.05628401280764073,0.37489928893378405,0.7077353679147647,388.0
tied rounds excluded,0.15479358238761085,0.03944978339755003,3.9238132394213365,8.715831211783323e-05,947.0
all cohort 1-3 rounds (no pre-registration filter),0.2081918245028585,0.03395973502791007,6.130549143912768,8.757625940476566e-10,1476.0
cohort 4 (critique exclusion),0.13451419722669047,0.09013163489536331,1.4924193639985814,0.13558924179880924,150.0
