variant,minority_by,neutral,ties,order,n_rounds,true_share,initial_candidates,initial_candidates_se,initial_winner,initial_winner_se,revised_candidates,revised_candidates_se,revised_winner,revised_winner_se
split=Likert rating | neutral=non-minority | tie=majority agree | order=data,rating,as_majority,majority_agree,data,659,0.28409436834094365,0.2384645734584509,0.01321437056755759,0.17428963730088007,0.017672985982445575,0.2133475926882868,0.00906064708813194,0.19945107018436317,0.01601647357017159
split=Likert rating | neutral=non-minority | tie=majority agree | order=random,rating,as_majority,majority_agree,random,659,0.28409436834094365,0.24136923243966188,0.013147005504603786,0.17769820737597875,0.017622849091777158,0.21474294310387368,0.009017747370642006,0.19912780621522508,0.015839635870401308
split=Likert rating | neutral=non-minority | tie=majority disagree | order=data,rating,as_majority,majority_disagree,data,659,0.28409436834094365,0.23290157378770676,0.013028464358771367,0.18134433485542079,0.01749701576438596,0.21848932817758376,0.008948006353142933,0.19593593424069877,0.015787399890300997
split=Likert rating | neutral=non-minority | tie=majority disagree | order=random,rating,as_majority,majority_disagree,random,659,0.28409436834094365,0.23555249857702187,0.012959862637123263,0.18188478643873193,0.017499464619866997,0.2186884990471367,0.008914404698586257,0.19718495120645285,0.01579280020805262
split=Likert rating | neutral=non-minority | tie=round dropped | order=data,rating,as_majority,exclude,data,560,0.2624551971326165,0.20649281556674787,0.013743991110519363,0.1408080215948898,0.01821965491943181,0.18567146062416184,0.009513957499103434,0.1639667873874045,0.016840596424815807
split=Likert rating | neutral=non-minority | tie=round dropped | order=random,rating,as_majority,exclude,random,560,0.2624551971326165,0.20883869272304462,0.013730865279443042,0.14512280549185202,0.018160286372140958,0.18846871295740356,0.009474241373378146,0.16646959258556818,0.01679617376276052
split=Likert rating | neutral=opinion dropped | tie=majority agree | order=data,rating,drop_participant,majority_agree,data,659,0.32081436519979767,0.28606266405429315,0.012417860879783025,0.2256418606483508,0.016859551207680012,0.26279685129634267,0.008638725766218002,0.2482913283347522,0.01536674902254584
split=Likert rating | neutral=opinion dropped | tie=majority agree | order=random,rating,drop_participant,majority_agree,random,659,0.32081436519979767,0.2817933569678582,0.012370974742300644,0.22449995430242414,0.016771895246306567,0.260121465770668,0.008590863519592184,0.2488105041733747,0.015272318126999829
split=Likert rating | neutral=opinion dropped | tie=majority disagree | order=data,rating,drop_participant,majority_disagree,data,659,0.32081436519979767,0.270049860798384,0.012417860879783025,0.22399868264152237,0.01685955120768001,0.26215927416333545,0.008638725766218002,0.23934685299601788,0.01536674902254584
split=Likert rating | neutral=opinion dropped | tie=majority disagree | order=random,rating,drop_participant,majority_disagree,random,659,0.32081436519979767,0.26666822863898126,0.012404168854941795,0.22120220144574615,0.01686701814918235,0.2561604554454966,0.008624979896986669,0.23711079624844122,0.01536771572783707
split=Likert rating | neutral=opinion dropped | tie=round dropped | order=data,rating,drop_participant,exclude,data,560,0.2891369047619048,0.23881978024813735,0.013213633292857092,0.17617242681073922,0.017533078750450147,0.2204875773910075,0.009154773247120666,0.19852996562230338,0.01631768641321031
split=Likert rating | neutral=opinion dropped | tie=round dropped | order=random,rating,drop_participant,exclude,random,560,0.2891369047619048,0.24077996070081428,0.013197095070465606,0.18028766137412405,0.017468807915548164,0.2196764465340753,0.00915927945851457,0.20054622814103606,0.016322282982763756
split=sign of position score | neutral=n/a | tie=majority agree | order=data,score,as_majority,majority_agree,data,668,0.30261976047904193,0.2642264891294973,0.010214708449271396,0.22946848130109643,0.014045759682092767,0.25433536614385543,0.007006914746494815,0.24082471131120675,0.012301384404784775
split=sign of position score | neutral=n/a | tie=majority agree | order=random,score,as_majority,majority_agree,random,668,0.30261976047904193,0.2626794768823193,0.010224188634821161,0.2256508347783075,0.014037709831469633,0.2507410569305112,0.007024439196407573,0.23669491210262056,0.012349321400298263
split=sign of position score | neutral=n/a | tie=majority disagree | order=data,score,as_majority,majority_disagree,data,668,0.30261976047904193,0.26204075769551427,0.010214708449271397,0.21314115180914767,0.014045759682092767,0.250041430215069,0.007006914746494816,0.2327812546490069,0.012301384404784775
split=sign of position score | neutral=n/a | tie=majority disagree | order=random,score,as_majority,majority_disagree,random,668,0.30261976047904193,0.2610049990763967,0.010212593652388757,0.20819974842853817,0.014026537076567716,0.24609402276747644,0.00693991452015209,0.22854134281748306,0.012273388358675093
split=sign of position score | neutral=n/a | tie=round dropped | order=data,score,as_majority,exclude,data,621,0.2876811594202898,0.24520653855000657,0.010337786843170868,0.2002119443781343,0.014006259257858008,0.23343293073088722,0.00705082402108451,0.21688307992062977,0.012375459859183872
split=sign of position score | neutral=n/a | tie=round dropped | order=random,score,as_majority,exclude,random,621,0.2876811594202898,0.24377724697862613,0.010278825525764443,0.19723815902819758,0.013954986834085996,0.23009873430325203,0.007027482832741265,0.21498714792856394,0.012280975249391824
