variant,minority_by,neutral,ties,order,n_rounds,true_share,initial_candidates,initial_candidates_se,initial_winner,initial_winner_se,revised_candidates,revised_candidates_se,revised_winner,revised_winner_se
split=Likert rating | neutral=non-minority | tie=majority agree | order=data,rating,as_majority,majority_agree,data,659,0.28409436834094365,0.23390979573162823,0.01259002424854267,0.16236178513911537,0.016577932916046437,0.20714233079075894,0.008740077488989766,0.19311835832661678,0.015414708926577668
split=Likert rating | neutral=non-minority | tie=majority agree | order=random,rating,as_majority,majority_agree,random,659,0.28409436834094365,0.23393913898776394,0.0125933359578208,0.165964585681473,0.016701315748233983,0.20690054128003096,0.008757673401276917,0.19168538475566035,0.015442160961942154
split=Likert rating | neutral=non-minority | tie=majority disagree | order=data,rating,as_majority,majority_disagree,data,659,0.28409436834094365,0.22234139281896553,0.012460920212470713,0.15846394483450793,0.016425658561118855,0.20925301299355964,0.008664472247528152,0.18776447640524344,0.015304277792280822
split=Likert rating | neutral=non-minority | tie=majority disagree | order=random,rating,as_majority,majority_disagree,random,659,0.28409436834094365,0.22285930002597956,0.01248036093805886,0.1592541681888584,0.01660226995812366,0.2083052185352018,0.00867328625517203,0.18664212304513922,0.015311688192978509
split=Likert rating | neutral=non-minority | tie=round dropped | order=data,rating,as_majority,exclude,data,560,0.2624551971326165,0.19980549092474467,0.013079352864545469,0.12334397782541451,0.017155854924695495,0.1779965049285748,0.009164317997756246,0.1570927656321427,0.016200914504454406
split=Likert rating | neutral=non-minority | tie=round dropped | order=random,rating,as_majority,exclude,random,560,0.2624551971326165,0.2012802374020325,0.013081719503553179,0.12779351890445825,0.01722256294327014,0.18007146917979405,0.009167634620968293,0.1584886311525677,0.01629462584552766
split=Likert rating | neutral=opinion dropped | tie=majority agree | order=data,rating,drop_participant,majority_agree,data,659,0.32081436519979767,0.2795438075136672,0.011925618188612718,0.21415733815011728,0.016158685504447733,0.2553000002744532,0.008459418050331268,0.24262957912315095,0.01504582127617882
split=Likert rating | neutral=opinion dropped | tie=majority agree | order=random,rating,drop_participant,majority_agree,random,659,0.32081436519979767,0.27624478358382865,0.011945630738581431,0.21202761690713656,0.016008736165430706,0.252300585786625,0.008389994000277548,0.24124007424859528,0.014993114347042053
split=Likert rating | neutral=opinion dropped | tie=majority disagree | order=data,rating,drop_participant,majority_disagree,data,659,0.32081436519979767,0.26084762360853364,0.011925618188612718,0.2041825002822042,0.016158685504447736,0.25421701340058267,0.00845941805033127,0.2336361248789557,0.015045821276178822
split=Likert rating | neutral=opinion dropped | tie=majority disagree | order=random,rating,drop_participant,majority_disagree,random,659,0.32081436519979767,0.2605978122931367,0.012014905371001772,0.2005030538773912,0.016082159879586395,0.2491203272186912,0.00843204996363531,0.2300646695491669,0.015072145695464674
split=Likert rating | neutral=opinion dropped | tie=round dropped | order=data,rating,drop_participant,exclude,data,560,0.2891369047619048,0.22956960099065227,0.012596392783987598,0.15775531564901743,0.01668383092023356,0.21140331429629344,0.008917809012512707,0.19183848119409658,0.015972339271801105
split=Likert rating | neutral=opinion dropped | tie=round dropped | order=random,rating,drop_participant,exclude,random,560,0.2891369047619048,0.23196908539934555,0.012640529329112927,0.16276222863550346,0.01667201569093517,0.21245884781976015,0.008925630588798228,0.19464728981211563,0.016084894648838336
split=sign of position score | neutral=n/a | tie=majority agree | order=data,score,as_majority,majority_agree,data,603,0.2920398009950249,0.2598622454792767,0.010447575369236522,0.20031118509523094,0.014073714455024356,0.2394501953263901,0.007282948364030527,0.2193454011233849,0.013030811521132085
split=sign of position score | neutral=n/a | tie=majority agree | order=random,score,as_majority,majority_agree,random,603,0.2920398009950249,0.2552155880394985,0.010486560951513669,0.1994321754281715,0.014207595051376741,0.23878399416840232,0.007283132328790612,0.218403916641699,0.013070150407103555
split=sign of position score | neutral=n/a | tie=majority disagree | order=data,score,as_majority,majority_disagree,data,603,0.2920398009950249,0.2618749471373285,0.010447575369236522,0.20311725629884964,0.014073714455024356,0.24342371913698108,0.007282948364030527,0.21985732728002083,0.013030811521132085
split=sign of position score | neutral=n/a | tie=majority disagree | order=random,score,as_majority,majority_disagree,random,603,0.2920398009950249,0.2597070332584231,0.010532665971923849,0.20293410665715528,0.014194513002320235,0.24372302780868593,0.0073134841927952774,0.21970163946236035,0.013066365166092225
split=sign of position score | neutral=n/a | tie=round dropped | order=data,score,as_majority,exclude,data,576,0.28229166666666666,0.2496593117602543,0.010615971025217568,0.18773207479221404,0.014100564031219856,0.22931681460192083,0.007316205706497631,0.20645767814865754,0.013024076307769309
split=sign of position score | neutral=n/a | tie=round dropped | order=random,score,as_majority,exclude,random,576,0.28229166666666666,0.24770639313296383,0.010558971691548564,0.1860045767870705,0.014020695815907643,0.22832683755877808,0.007262315998567134,0.2047956725278444,0.012905922668485878
