variant,minority_by,neutral,ties,order,n_rounds,true_share,initial_candidates,initial_candidates_se,initial_winner,initial_winner_se,revised_candidates,revised_candidates_se,revised_winner,revised_winner_se
split=Likert rating | neutral=non-minority | tie=majority agree | order=data,rating,as_majority,majority_agree,data,659,0.28409436834094365,0.21390719847569498,0.012032762784036451,0.1403977677476685,0.016948868451716646,0.18056956597058746,0.008719950574596671,0.16772527108427238,0.015381079379758326
split=Likert rating | neutral=non-minority | tie=majority agree | order=random,rating,as_majority,majority_agree,random,659,0.28409436834094365,0.21242505747003562,0.01197013414041379,0.14107665332934363,0.017101445238000744,0.1818872289539677,0.008724255850231209,0.16542342467299725,0.015486650575211928
split=Likert rating | neutral=non-minority | tie=majority disagree | order=data,rating,as_majority,majority_disagree,data,659,0.28409436834094365,0.21737675711503635,0.011930472078999431,0.15847471656059955,0.016964856898383417,0.19678028638421735,0.008694739674577925,0.17619273910134958,0.015352653747694303
split=Likert rating | neutral=non-minority | tie=majority disagree | order=random,rating,as_majority,majority_disagree,random,659,0.28409436834094365,0.2164047997843579,0.011889030777781083,0.16045350543316844,0.017056576345976897,0.19806646227617236,0.008690786190938049,0.17680744849316188,0.015425449976368555
split=Likert rating | neutral=non-minority | tie=round dropped | order=data,rating,as_majority,exclude,data,560,0.2624551971326165,0.18535549541220436,0.012481094859726075,0.11021168800638345,0.017269090620570082,0.1553659418443572,0.00909153327888256,0.13583218741958542,0.016108357038183453
split=Likert rating | neutral=non-minority | tie=round dropped | order=random,rating,as_majority,exclude,random,560,0.2624551971326165,0.1841894668860805,0.01242901332637579,0.11425771519017752,0.017328487830982363,0.15928217536841444,0.009055835257731468,0.1372670602502691,0.016187643312856114
split=Likert rating | neutral=opinion dropped | tie=majority agree | order=data,rating,drop_participant,majority_agree,data,659,0.32081436519979767,0.26516357945298036,0.011343620847300371,0.19713973950767305,0.01630087074211649,0.23408240910963227,0.008335368817583455,0.22261794191420514,0.014709751106719448
split=Likert rating | neutral=opinion dropped | tie=majority agree | order=random,rating,drop_participant,majority_agree,random,659,0.32081436519979767,0.2594916108436225,0.011337465578316915,0.192869601437296,0.016309731902800863,0.23048521854770873,0.008303277743365792,0.21886140795551906,0.014781120574570063
split=Likert rating | neutral=opinion dropped | tie=majority disagree | order=data,rating,drop_participant,majority_disagree,data,659,0.32081436519979767,0.26067260814961224,0.01134362084730037,0.2090543440217454,0.01630087074211649,0.2452882374968197,0.008335368817583455,0.22554940609774202,0.014709751106719448
split=Likert rating | neutral=opinion dropped | tie=majority disagree | order=random,rating,drop_participant,majority_disagree,random,659,0.32081436519979767,0.25691984287993286,0.011376142031331152,0.2054238340693104,0.01636835334813051,0.24099543341737126,0.008325943443960687,0.2213433378262255,0.014830471846803377
split=Likert rating | neutral=opinion dropped | tie=round dropped | order=data,rating,drop_participant,exclude,data,560,0.2891369047619048,0.22100539966973995,0.011918632039459845,0.1506088402195414,0.016698633220482557,0.19366540724433218,0.00873027085337186,0.1753056092320293,0.015567967437402071
split=Likert rating | neutral=opinion dropped | tie=round dropped | order=random,rating,drop_participant,exclude,random,560,0.2891369047619048,0.21750784004774604,0.011909149414260257,0.15136126325762647,0.016652657054974592,0.19336778800507018,0.008695751266256123,0.17457001417911794,0.015572568071479947
split=sign of position score | neutral=n/a | tie=majority agree | order=data,score,as_majority,majority_agree,data,620,0.3008064516129032,0.2195878461869566,0.009963331986440475,0.15562174634533163,0.014105984737316859,0.19818565431013538,0.007204530476146143,0.17545032981336284,0.012785585152194393
split=sign of position score | neutral=n/a | tie=majority agree | order=random,score,as_majority,majority_agree,random,620,0.3008064516129032,0.22009952402853986,0.010009119730898014,0.15836320948238997,0.01428725196101714,0.20135892035265146,0.007266821643543757,0.17782313112352935,0.012665089054408274
split=sign of position score | neutral=n/a | tie=majority disagree | order=data,score,as_majority,majority_disagree,data,620,0.3008064516129032,0.2437988648328474,0.009963331986440479,0.18395401762369856,0.014105984737316859,0.22099029077233243,0.007204530476146143,0.19959816009211107,0.012785585152194395
split=sign of position score | neutral=n/a | tie=majority disagree | order=random,score,as_majority,majority_disagree,random,620,0.3008064516129032,0.2449974176148555,0.010067128125828346,0.1871108270609852,0.014307603579723015,0.2238217793117593,0.00727432946934379,0.20229217202936495,0.012760031761506033
split=sign of position score | neutral=n/a | tie=round dropped | order=data,score,as_majority,exclude,data,581,0.287435456110155,0.21368309659243473,0.010196524929093329,0.14762218043097997,0.014279464702534425,0.19009387775484515,0.007327212752280795,0.16654910821118155,0.012821425400845764
split=sign of position score | neutral=n/a | tie=round dropped | order=random,score,as_majority,exclude,random,581,0.287435456110155,0.21243666092745067,0.010190453814683887,0.1462861619522749,0.014248076951948024,0.19070849616529773,0.007308932391168007,0.16560876551061943,0.012837472417601734
